Node_1,Node_2,Relation
"{'label': 'Occupation', 'properties': ""{'title': 'Technical Writers'}"", 'identifier': ""{'title': 'Technical Writers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 97, 'level': '71', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Poets, Lyricists and Creative Writers'}"", 'identifier': ""{'title': 'Poets, Lyricists and Creative Writers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 94, 'level': '82', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Writers and Authors'}"", 'identifier': ""{'title': 'Writers and Authors'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 94, 'level': '73', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Anthropologists and Archeologists'}"", 'identifier': ""{'title': 'Anthropologists and Archeologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '73', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Biochemists and Biophysicists'}"", 'identifier': ""{'title': 'Biochemists and Biophysicists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '73', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Editors'}"", 'identifier': ""{'title': 'Editors'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '71', 'job_zone': 4}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Molecular and Cellular Biologists'}"", 'identifier': ""{'title': 'Molecular and Cellular Biologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '71', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'English Language and Literature Teachers, Postsecondary'}"", 'identifier': ""{'title': 'English Language and Literature Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Industrial-Organizational Psychologists'}"", 'identifier': ""{'title': 'Industrial-Organizational Psychologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Medical Scientists, Except Epidemiologists'}"", 'identifier': ""{'title': 'Medical Scientists, Except Epidemiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '70', 'job_zone': 5}""}"
"{'label': 'Occupation', 'properties': ""{'title': 'Anthropology and Archeology Teachers, Postsecondary'}"", 'identifier': ""{'title': 'Anthropology and Archeology Teachers, Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '71', 'job_zone': 5}""}"
