,Node_1,Node_2,Relation
0,"{'label': 'Occupation', 'properties': ""{'title': 'Amusement_and_Recreation_Attendants'}"", 'identifier': ""{'title': 'Amusement_and_Recreation_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
1,"{'label': 'Occupation', 'properties': ""{'title': 'Amusement_and_Recreation_Attendants'}"", 'identifier': ""{'title': 'Amusement_and_Recreation_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
2,"{'label': 'Occupation', 'properties': ""{'title': 'Amusement_and_Recreation_Attendants'}"", 'identifier': ""{'title': 'Amusement_and_Recreation_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
3,"{'label': 'Occupation', 'properties': ""{'title': 'Baristas'}"", 'identifier': ""{'title': 'Baristas'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
4,"{'label': 'Occupation', 'properties': ""{'title': 'Baristas'}"", 'identifier': ""{'title': 'Baristas'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
5,"{'label': 'Occupation', 'properties': ""{'title': 'Baristas'}"", 'identifier': ""{'title': 'Baristas'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
6,"{'label': 'Occupation', 'properties': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}"", 'identifier': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
7,"{'label': 'Occupation', 'properties': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}"", 'identifier': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
8,"{'label': 'Occupation', 'properties': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}"", 'identifier': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
9,"{'label': 'Occupation', 'properties': ""{'title': 'Childcare_Workers'}"", 'identifier': ""{'title': 'Childcare_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
10,"{'label': 'Occupation', 'properties': ""{'title': 'Childcare_Workers'}"", 'identifier': ""{'title': 'Childcare_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
11,"{'label': 'Occupation', 'properties': ""{'title': 'Childcare_Workers'}"", 'identifier': ""{'title': 'Childcare_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Artistic'}"", 'identifier': ""{'title': 'Artistic'}""}",{'label': 'need_for_personality_trait'}
12,"{'label': 'Occupation', 'properties': ""{'title': 'Home_Health_Aides'}"", 'identifier': ""{'title': 'Home_Health_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
13,"{'label': 'Occupation', 'properties': ""{'title': 'Home_Health_Aides'}"", 'identifier': ""{'title': 'Home_Health_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
14,"{'label': 'Occupation', 'properties': ""{'title': 'Home_Health_Aides'}"", 'identifier': ""{'title': 'Home_Health_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
15,"{'label': 'Occupation', 'properties': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}"", 'identifier': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
16,"{'label': 'Occupation', 'properties': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}"", 'identifier': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Enterprising'}"", 'identifier': ""{'title': 'Enterprising'}""}",{'label': 'need_for_personality_trait'}
17,"{'label': 'Occupation', 'properties': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}"", 'identifier': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
18,"{'label': 'Occupation', 'properties': ""{'title': 'Nannies'}"", 'identifier': ""{'title': 'Nannies'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
19,"{'label': 'Occupation', 'properties': ""{'title': 'Nannies'}"", 'identifier': ""{'title': 'Nannies'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Artistic'}"", 'identifier': ""{'title': 'Artistic'}""}",{'label': 'need_for_personality_trait'}
20,"{'label': 'Occupation', 'properties': ""{'title': 'Personal_Care_Aides'}"", 'identifier': ""{'title': 'Personal_Care_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
21,"{'label': 'Occupation', 'properties': ""{'title': 'Personal_Care_Aides'}"", 'identifier': ""{'title': 'Personal_Care_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
22,"{'label': 'Occupation', 'properties': ""{'title': 'Personal_Care_Aides'}"", 'identifier': ""{'title': 'Personal_Care_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
23,"{'label': 'Occupation', 'properties': ""{'title': 'Physical_Therapist_Aides'}"", 'identifier': ""{'title': 'Physical_Therapist_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
24,"{'label': 'Occupation', 'properties': ""{'title': 'Physical_Therapist_Aides'}"", 'identifier': ""{'title': 'Physical_Therapist_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
25,"{'label': 'Occupation', 'properties': ""{'title': 'Physical_Therapist_Aides'}"", 'identifier': ""{'title': 'Physical_Therapist_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
26,"{'label': 'Occupation', 'properties': ""{'title': 'Psychiatric_Aides'}"", 'identifier': ""{'title': 'Psychiatric_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
27,"{'label': 'Occupation', 'properties': ""{'title': 'Psychiatric_Aides'}"", 'identifier': ""{'title': 'Psychiatric_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Investigative'}"", 'identifier': ""{'title': 'Investigative'}""}",{'label': 'need_for_personality_trait'}
28,"{'label': 'Occupation', 'properties': ""{'title': 'Psychiatric_Aides'}"", 'identifier': ""{'title': 'Psychiatric_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
29,"{'label': 'Occupation', 'properties': ""{'title': 'School_Bus_Monitors'}"", 'identifier': ""{'title': 'School_Bus_Monitors'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
30,"{'label': 'Occupation', 'properties': ""{'title': 'School_Bus_Monitors'}"", 'identifier': ""{'title': 'School_Bus_Monitors'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
31,"{'label': 'Occupation', 'properties': ""{'title': 'School_Bus_Monitors'}"", 'identifier': ""{'title': 'School_Bus_Monitors'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}",{'label': 'need_for_personality_trait'}
32,"{'label': 'Occupation', 'properties': ""{'title': 'Travel_Guides'}"", 'identifier': ""{'title': 'Travel_Guides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
33,"{'label': 'Occupation', 'properties': ""{'title': 'Travel_Guides'}"", 'identifier': ""{'title': 'Travel_Guides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Enterprising'}"", 'identifier': ""{'title': 'Enterprising'}""}",{'label': 'need_for_personality_trait'}
34,"{'label': 'Occupation', 'properties': ""{'title': 'Travel_Guides'}"", 'identifier': ""{'title': 'Travel_Guides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
35,"{'label': 'Occupation', 'properties': ""{'title': 'Ushers,_Lobby_Attendants,_and_Ticket_Takers'}"", 'identifier': ""{'title': 'Ushers,_Lobby_Attendants,_and_Ticket_Takers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}",{'label': 'need_for_personality_trait'}
36,"{'label': 'Occupation', 'properties': ""{'title': 'Ushers,_Lobby_Attendants,_and_Ticket_Takers'}"", 'identifier': ""{'title': 'Ushers,_Lobby_Attendants,_and_Ticket_Takers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}",{'label': 'need_for_personality_trait'}
37,"{'label': 'Occupation', 'properties': ""{'title': 'Ushers,_Lobby_Attendants,_and_Ticket_Takers'}"", 'identifier': ""{'title': 'Ushers,_Lobby_Attendants,_and_Ticket_Takers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Enterprising'}"", 'identifier': ""{'title': 'Enterprising'}""}",{'label': 'need_for_personality_trait'}
