Importance,Level,Job Zone,Occupation,Ability,Category
91,71,4,Editors,Written Expression,Verbal Abilities
91,71,4,"Poets, Lyricists and Creative Writers",Written Expression,Verbal Abilities
91,68,4,Writers and Authors,Written Expression,Verbal Abilities
88,73,5,Anthropologists and Archeologists,Written Expression,Verbal Abilities
85,71,5,Geneticists,Written Expression,Verbal Abilities
85,71,5,"History Teachers, Postsecondary",Written Expression,Verbal Abilities
81,77,5,Biochemists and Biophysicists,Written Expression,Verbal Abilities
81,73,4,Technical Writers,Written Expression,Verbal Abilities
81,71,5,"English Language and Literature Teachers, Postsecondary",Written Expression,Verbal Abilities
81,71,5,Epidemiologists,Written Expression,Verbal Abilities
81,70,5,Bioinformatics Scientists,Written Expression,Verbal Abilities
81,70,5,Historians,Written Expression,Verbal Abilities
81,70,5,Industrial-Organizational Psychologists,Written Expression,Verbal Abilities
81,70,5,"Physicians, Pathologists",Written Expression,Verbal Abilities
81,70,5,Urologists,Written Expression,Verbal Abilities
81,68,5,Speech-Language Pathologists,Written Expression,Verbal Abilities
81,66,5,"Education Administrators, Kindergarten through Secondary",Written Expression,Verbal Abilities
81,66,5,Instructional Coordinators,Written Expression,Verbal Abilities
81,64,5,Judicial Law Clerks,Written Expression,Verbal Abilities
81,61,5,Clinical and Counseling Psychologists,Written Expression,Verbal Abilities
81,61,4,"Fraud Examiners, Investigators and Analysts",Written Expression,Verbal Abilities
78,77,5,Molecular and Cellular Biologists,Written Expression,Verbal Abilities
78,73,5,"Business Teachers, Postsecondary",Written Expression,Verbal Abilities
78,71,5,"Administrative Law Judges, Adjudicators, and Hearing Officers",Written Expression,Verbal Abilities
78,71,5,"Anthropology and Archeology Teachers, Postsecondary",Written Expression,Verbal Abilities
78,71,5,"Biological Science Teachers, Postsecondary",Written Expression,Verbal Abilities
78,71,5,"Chemistry Teachers, Postsecondary",Written Expression,Verbal Abilities
78,71,5,"Education Teachers, Postsecondary",Written Expression,Verbal Abilities
78,71,5,"Judges, Magistrate Judges, and Magistrates",Written Expression,Verbal Abilities
78,71,5,Lawyers,Written Expression,Verbal Abilities
78,71,5,"Medical Scientists, Except Epidemiologists",Written Expression,Verbal Abilities
78,71,5,Microbiologists,Written Expression,Verbal Abilities
78,71,5,"Psychology Teachers, Postsecondary",Written Expression,Verbal Abilities
78,70,5,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Written Expression,Verbal Abilities
