Importance,Level,Job Zone,Occupation,Skill,Category
97,71,4,Technical Writers,Writing,Basic Skill
94,82,4,"Poets, Lyricists and Creative Writers",Writing,Basic Skill
94,73,4,Writers and Authors,Writing,Basic Skill
81,73,5,Anthropologists and Archeologists,Writing,Basic Skill
81,73,5,Biochemists and Biophysicists,Writing,Basic Skill
81,71,4,Editors,Writing,Basic Skill
81,71,5,Molecular and Cellular Biologists,Writing,Basic Skill
81,70,5,"English Language and Literature Teachers, Postsecondary",Writing,Basic Skill
81,70,5,Industrial-Organizational Psychologists,Writing,Basic Skill
81,70,5,"Medical Scientists, Except Epidemiologists",Writing,Basic Skill
78,71,5,"Anthropology and Archeology Teachers, Postsecondary",Writing,Basic Skill
78,71,5,"Physicians, Pathologists",Writing,Basic Skill
78,70,5,"Administrative Law Judges, Adjudicators, and Hearing Officers",Writing,Basic Skill
78,70,5,"Chemistry Teachers, Postsecondary",Writing,Basic Skill
78,70,5,"Forestry and Conservation Science Teachers, Postsecondary",Writing,Basic Skill
78,70,4,Geographers,Writing,Basic Skill
78,70,5,"Geography Teachers, Postsecondary",Writing,Basic Skill
78,70,5,"Judges, Magistrate Judges, and Magistrates",Writing,Basic Skill
78,70,5,Preventive Medicine Physicians,Writing,Basic Skill
78,68,5,"History Teachers, Postsecondary",Writing,Basic Skill
78,68,5,Microbiologists,Writing,Basic Skill
78,66,5,Epidemiologists,Writing,Basic Skill
78,64,5,Instructional Coordinators,Writing,Basic Skill
78,63,5,"Arbitrators, Mediators, and Conciliators",Writing,Basic Skill
78,63,5,Chief Executives,Writing,Basic Skill
78,63,5,"Education Administrators, Kindergarten through Secondary",Writing,Basic Skill
78,63,5,Environmental Economists,Writing,Basic Skill
78,63,5,Judicial Law Clerks,Writing,Basic Skill
78,63,4,"News Analysts, Reporters, and Journalists",Writing,Basic Skill
78,63,5,Psychiatrists,Writing,Basic Skill
78,63,5,Radiologists,Writing,Basic Skill
78,61,5,Allergists and Immunologists,Writing,Basic Skill
78,61,5,Chief Sustainability Officers,Writing,Basic Skill
78,61,4,Electrical Engineers,Writing,Basic Skill
78,59,5,Family Medicine Physicians,Writing,Basic Skill
78,59,4,"Fraud Examiners, Investigators and Analysts",Writing,Basic Skill
78,59,5,Urologists,Writing,Basic Skill
78,57,4,Health Education Specialists,Writing,Basic Skill
75,71,5,"Agricultural Sciences Teachers, Postsecondary",Writing,Basic Skill
75,71,5,"Architecture Teachers, Postsecondary",Writing,Basic Skill
75,71,5,Astronomers,Writing,Basic Skill
