Interest Code,Job Zone,Occupation
CSR,1,Amusement and Recreation Attendants
RCS,1,Baristas
RCS,1,Dining Room and Cafeteria Attendants and Bartender Helpers
SCA,2,Childcare Workers
SRC,2,Home Health Aides
SEC,2,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
SA,2,Nannies
SCR,2,Personal Care Aides
SRC,2,Physical Therapist Aides
SIC,2,Psychiatric Aides
SCR,2,School Bus Monitors
SEC,2,Travel Guides
SCE,2,"Ushers, Lobby Attendants, and Ticket Takers"
SCE,2,Waiters and Waitresses
RSC,2,Animal Caretakers
RS,2,Animal Trainers
RSC,2,"Food Servers, Nonrestaurant"
RSC,2,Funeral Attendants
CSE,2,"Hotel, Motel, and Resort Desk Clerks"
RSC,2,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
CS,2,Medical Secretaries and Administrative Assistants
CSR,2,Passenger Attendants
RSC,2,Shampooers
SIR,3,Acute Care Nurses
SI,3,"Career/Technical Education Teachers, Postsecondary"
SEC,3,Concierges
SRI,3,Dental Hygienists
SRC,3,Dietetic Technicians
SRI,3,Emergency Medical Technicians
SR,3,Exercise Trainers and Group Fitness Instructors
SIC,3,Hearing Aid Specialists
SRC,3,Licensed Practical and Licensed Vocational Nurses
SRI,3,Massage Therapists
SRC,3,Nursing Assistants
SRC,3,Occupational Therapy Aides
SCR,3,Occupational Therapy Assistants
SRI,3,Paramedics
SIC,3,Patient Representatives
SRC,3,Physical Therapist Assistants
SA,3,"Preschool Teachers, Except Special Education"
SI,3,Psychiatric Technicians
SCE,3,Residential Advisors
SRI,3,Respiratory Therapists
SA,3,Self-Enrichment Teachers
SCI,3,Speech-Language Pathology Assistants
SC,3,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
SC,3,"Teaching Assistants, Special Education"
SE,3,Tour Guides and Escorts
S,3,Tutors
S,4,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
S,4,"Career/Technical Education Teachers, Middle School"
S,4,"Career/Technical Education Teachers, Secondary School"
S,4,"Child, Family, and School Social Workers"
SER,4,Coaches and Scouts
S,4,Community Health Workers
SIR,4,Critical Care Nurses
SE,4,"Directors, Religious Activities and Education"
SEC,4,"Education and Childcare Administrators, Preschool and Daycare"
SA,4,"Elementary School Teachers, Except Special Education"
SE,4,Fitness and Wellness Coordinators
SIC,4,Health Education Specialists
SA,4,"Kindergarten Teachers, Except Special Education"
SA,4,"Middle School Teachers, Except Special and Career/Technical Education"
SAI,4,Music Therapists
SIR,4,Park Naturalists
SCE,4,Probation Officers and Correctional Treatment Specialists
SER,4,Recreation Workers
SI,4,Recreational Therapists
SIC,4,Registered Nurses
S,4,Rehabilitation Counselors
S,4,"Secondary School Teachers, Except Special and Career/Technical Education"
SCE,4,Social and Human Service Assistants
SI,4,"Special Education Teachers, Elementary School"
S,4,"Special Education Teachers, Kindergarten"
SIA,4,"Special Education Teachers, Middle School"
SI,4,"Special Education Teachers, Secondary School"
SC,4,"Substitute Teachers, Short-Term"
SCI,4,Training and Development Specialists
SIR,5,Acupuncturists
SR,5,Adapted Physical Education Specialists
SI,5,"Agricultural Sciences Teachers, Postsecondary"
SCI,5,Anesthesiologist Assistants
SI,5,"Anthropology and Archeology Teachers, Postsecondary"
SIA,5,"Architecture Teachers, Postsecondary"
SI,5,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
SA,5,Art Therapists
SA,5,"Art, Drama, and Music Teachers, Postsecondary"
SRI,5,Athletic Trainers
SI,5,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
SI,5,"Biological Science Teachers, Postsecondary"
SI,5,"Business Teachers, Postsecondary"
SRI,5,Chiropractors
SE,5,Clergy
SI,5,Clinical and Counseling Psychologists
SIC,5,Clinical Nurse Specialists
SI,5,"Communications Teachers, Postsecondary"
SIC,5,"Computer Science Teachers, Postsecondary"
SI,5,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
SI,5,Dietitians and Nutritionists
SI,5,"Economics Teachers, Postsecondary"
SEC,5,"Education Administrators, Kindergarten through Secondary"
SEC,5,"Education Administrators, Postsecondary"
SI,5,"Education Teachers, Postsecondary"
SE,5,"Educational, Guidance, and Career Counselors and Advisors"
SIR,5,"Engineering Teachers, Postsecondary"
SIA,5,"English Language and Literature Teachers, Postsecondary"
SI,5,"Environmental Science Teachers, Postsecondary"
SI,5,"Family and Consumer Sciences Teachers, Postsecondary"
SI,5,Family Medicine Physicians
SIR,5,Farm and Home Management Educators
SI,5,"Foreign Language and Literature Teachers, Postsecondary"
SI,5,"Forestry and Conservation Science Teachers, Postsecondary"
SI,5,"Geography Teachers, Postsecondary"
SI,5,"Health Specialties Teachers, Postsecondary"
SI,5,Healthcare Social Workers
SI,5,"History Teachers, Postsecondary"
SIC,5,Hospitalists
SEC,5,Instructional Coordinators
SI,5,"Law Teachers, Postsecondary"
SI,5,"Library Science Teachers, Postsecondary"
SRI,5,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
SI,5,Marriage and Family Therapists
SIC,5,"Mathematical Science Teachers, Postsecondary"
SI,5,Mental Health and Substance Abuse Social Workers
SI,5,Mental Health Counselors
SIR,5,Midwives
SRI,5,Nurse Anesthetists
SI,5,Nurse Midwives
SI,5,"Nursing Instructors and Teachers, Postsecondary"
SI,5,Occupational Therapists
SI,5,"Pediatricians, General"
SI,5,"Philosophy and Religion Teachers, Postsecondary"
SIR,5,Physical Therapists
SIC,5,Physician Assistants
SI,5,"Physics Teachers, Postsecondary"
SI,5,"Political Science Teachers, Postsecondary"
SI,5,"Psychology Teachers, Postsecondary"
SI,5,"Recreation and Fitness Studies Teachers, Postsecondary"
SIC,5,School Psychologists
SI,5,"Social Work Teachers, Postsecondary"
SI,5,"Sociology Teachers, Postsecondary"
SA,5,"Special Education Teachers, Preschool"
SIC,5,Speech-Language Pathologists
SIC,5,Substance Abuse and Behavioral Disorder Counselors
SC,5,"Teaching Assistants, Postsecondary"
RC,1,Agricultural Equipment Operators
RCS,1,Baristas
RC,1,Cement Masons and Concrete Finishers
RC,1,Conveyor Operators and Tenders
RCE,1,"Cooks, Fast Food"
RC,1,"Cutters and Trimmers, Hand"
RC,1,"Derrick Operators, Oil and Gas"
RCS,1,Dining Room and Cafeteria Attendants and Bartender Helpers
RC,1,Dishwashers
RC,1,Fallers
RC,1,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
RCE,1,Fast Food and Counter Workers
RC,1,Fishing and Hunting Workers
RC,1,Floor Sanders and Finishers
RC,1,Food Preparation Workers
RC,1,"Graders and Sorters, Agricultural Products"
RC,1,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
RC,1,Landscaping and Groundskeeping Workers
RC,1,Laundry and Dry-Cleaning Workers
RC,1,Logging Equipment Operators
RC,1,Maids and Housekeeping Cleaners
RC,1,"Meat, Poultry, and Fish Cutters and Trimmers"
RAC,1,"Painting, Coating, and Decorating Workers"
RC,1,Plasterers and Stucco Masons
RC,1,"Pressers, Textile, Garment, and Related Materials"
RC,1,"Rock Splitters, Quarry"
RC,1,"Roustabouts, Oil and Gas"
RC,1,Septic Tank Servicers and Sewer Pipe Cleaners
RC,1,Sewing Machine Operators
RC,2,Adhesive Bonding Machine Operators and Tenders
RCI,2,Agricultural Inspectors
RC,2,Aircraft Service Attendants
RC,2,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
RSC,2,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
RC,2,Animal Breeders
RSC,2,Animal Caretakers
RCI,2,Animal Control Workers
RS,2,Animal Trainers
RES,2,Athletes and Sports Competitors
RC,2,Automotive and Watercraft Service Attendants
RC,2,Automotive Body and Related Repairers
RC,2,Automotive Glass Installers and Repairers
RCS,2,Baggage Porters and Bellhops
RC,2,Bakers
RCE,2,Bartenders
RC,2,Bicycle Repairers
RCI,2,Biofuels Processing Technicians
RC,2,Biomass Plant Technicians
RC,2,Brickmasons and Blockmasons
RC,2,Bridge and Lock Tenders
RCS,2,"Bus Drivers, School"
RCS,2,"Bus Drivers, Transit and Intercity"
RC,2,Butchers and Meat Cutters
RC,2,Cabinetmakers and Bench Carpenters
RC,2,Carpenters
RC,2,Carpet Installers
RCI,2,Chemical Equipment Operators and Tenders
RCI,2,Chemical Plant and System Operators
RC,2,Cleaners of Vehicles and Equipment
RC,2,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
RC,2,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
RC,2,"Coil Winders, Tapers, and Finishers"
RC,2,"Coin, Vending, and Amusement Machine Servicers and Repairers"
RC,2,Computer Numerically Controlled Tool Operators
RC,2,Construction Laborers
RC,2,Continuous Mining Machine Operators
RC,2,"Cooks, Institution and Cafeteria"
RCE,2,"Cooks, Restaurant"
RCE,2,"Cooks, Short Order"
RC,2,Cooling and Freezing Equipment Operators and Tenders
RCS,2,Correctional Officers and Jailers
RC,2,Crematory Operators
RC,2,Crossing Guards and Flaggers
RC,2,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
RC,2,"Cutting and Slicing Machine Setters, Operators, and Tenders"
RC,2,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
RIC,2,Dental Laboratory Technicians
RC,2,Dredge Operators
RC,2,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RCE,2,Driver/Sales Workers
RC,2,Drywall and Ceiling Tile Installers
RCI,2,"Earth Drillers, Except Oil and Gas"
RCI,2,Electrical and Electronic Equipment Assemblers
RC,2,Electrical Power-Line Installers and Repairers
RCI,2,Electromechanical Equipment Assemblers
RCI,2,Endoscopy Technicians
RC,2,Engine and Other Machine Assemblers
RCA,2,Etchers and Engravers
RC,2,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
RCI,2,"Explosives Workers, Ordnance Handling Experts, and Blasters"
RC,2,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,2,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
RC,2,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
R,2,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
RC,2,Fence Erectors
RC,2,Fiberglass Laminators and Fabricators
RC,2,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
RAC,2,Floral Designers
RC,2,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
RC,2,Food Batchmakers
RC,2,Food Cooking Machine Operators and Tenders
RSC,2,"Food Servers, Nonrestaurant"
RC,2,Forest and Conservation Workers
RC,2,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,2,Foundry Mold and Coremakers
RSC,2,Funeral Attendants
RC,2,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
RCA,2,Furniture Finishers
RC,2,Gas Compressor and Gas Pumping Station Operators
RC,2,Gas Plant Operators
RCI,2,Geothermal Technicians
RC,2,"Glass Blowers, Molders, Benders, and Finishers"
RC,2,Glaziers
RC,2,"Grinding and Polishing Workers, Hand"
RC,2,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RC,2,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
RC,2,Heavy and Tractor-Trailer Truck Drivers
RC,2,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
RC,2,Helpers--Carpenters
RC,2,Helpers--Electricians
RC,2,Helpers--Extraction Workers
RC,2,"Helpers--Installation, Maintenance, and Repair Workers"
RC,2,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
RC,2,Helpers--Production Workers
RC,2,Helpers--Roofers
RC,2,Highway Maintenance Workers
RC,2,Hoist and Winch Operators
RC,2,Home Appliance Repairers
RC,2,Industrial Truck and Tractor Operators
RCI,2,"Inspectors, Testers, Sorters, Samplers, and Weighers"
RC,2,"Insulation Workers, Floor, Ceiling, and Wall"
RC,2,"Insulation Workers, Mechanical"
RC,2,"Laborers and Freight, Stock, and Material Movers, Hand"
RC,2,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RC,2,"Layout Workers, Metal and Plastic"
RSC,2,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
RC,2,Light Truck Drivers
RC,2,"Loading and Moving Machine Operators, Underground Mining"
RC,2,Locksmiths and Safe Repairers
RCI,2,Locomotive Engineers
RC,2,Machine Feeders and Offbearers
RC,2,Manicurists and Pedicurists
RC,2,Manufactured Building and Mobile Home Installers
RC,2,Mechanical Door Repairers
RCI,2,Medical Equipment Preparers
RC,2,Metal-Refining Furnace Operators and Tenders
RC,2,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,2,Millwrights
RC,2,"Mixing and Blending Machine Setters, Operators, and Tenders"
RC,2,"Molders, Shapers, and Casters, Except Metal and Plastic"
RC,2,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,2,Motion Picture Projectionists
RCE,2,Motorboat Operators
RC,2,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
RIC,2,Non-Destructive Testing Specialists
RCI,2,Operating Engineers and Other Construction Equipment Operators
RC,2,Ophthalmic Laboratory Technicians
RCS,2,Orderlies
RC,2,Outdoor Power Equipment and Other Small Engine Mechanics
RC,2,Packaging and Filling Machine Operators and Tenders
RC,2,"Painters, Construction and Maintenance"
RC,2,"Paper Goods Machine Setters, Operators, and Tenders"
RCA,2,Paperhangers
RC,2,Parking Attendants
RC,2,Parking Enforcement Workers
RC,2,"Paving, Surfacing, and Tamping Equipment Operators"
RC,2,Pest Control Workers
RC,2,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
RC,2,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
RCA,2,Photographic Process Workers and Processing Machine Operators
RC,2,Pile Driver Operators
RC,2,Pipelayers
RC,2,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
RC,2,"Pourers and Casters, Metal"
RC,2,Power Plant Operators
RC,2,Print Binding and Finishing Workers
RC,2,"Pump Operators, Except Wellhead Pumpers"
RC,2,Rail Car Repairers
RC,2,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
RC,2,Rail-Track Laying and Maintenance Equipment Operators
RC,2,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
