,Node_1,Node_2,Relation
0,"{'label': 'Occupation', 'properties': ""{'title': 'Technical_Writers'}"", 'identifier': ""{'title': 'Technical_Writers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 97, 'level': '71'}""}"
1,"{'label': 'Occupation', 'properties': ""{'title': 'Poets,_Lyricists_and_Creative_Writers'}"", 'identifier': ""{'title': 'Poets,_Lyricists_and_Creative_Writers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 94, 'level': '82'}""}"
2,"{'label': 'Occupation', 'properties': ""{'title': 'Writers_and_Authors'}"", 'identifier': ""{'title': 'Writers_and_Authors'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 94, 'level': '73'}""}"
3,"{'label': 'Occupation', 'properties': ""{'title': 'Anthropologists_and_Archeologists'}"", 'identifier': ""{'title': 'Anthropologists_and_Archeologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '73'}""}"
4,"{'label': 'Occupation', 'properties': ""{'title': 'Biochemists_and_Biophysicists'}"", 'identifier': ""{'title': 'Biochemists_and_Biophysicists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '73'}""}"
5,"{'label': 'Occupation', 'properties': ""{'title': 'Editors'}"", 'identifier': ""{'title': 'Editors'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '71'}""}"
6,"{'label': 'Occupation', 'properties': ""{'title': 'Molecular_and_Cellular_Biologists'}"", 'identifier': ""{'title': 'Molecular_and_Cellular_Biologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '71'}""}"
7,"{'label': 'Occupation', 'properties': ""{'title': 'English_Language_and_Literature_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'English_Language_and_Literature_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '70'}""}"
8,"{'label': 'Occupation', 'properties': ""{'title': 'Industrial-Organizational_Psychologists'}"", 'identifier': ""{'title': 'Industrial-Organizational_Psychologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '70'}""}"
9,"{'label': 'Occupation', 'properties': ""{'title': 'Medical_Scientists,_Except_Epidemiologists'}"", 'identifier': ""{'title': 'Medical_Scientists,_Except_Epidemiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'strong_need_for_basic_skill', 'properties': ""{'importance': 81, 'level': '70'}""}"
10,"{'label': 'Occupation', 'properties': ""{'title': 'Anthropology_and_Archeology_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Anthropology_and_Archeology_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '71'}""}"
11,"{'label': 'Occupation', 'properties': ""{'title': 'Physicians,_Pathologists'}"", 'identifier': ""{'title': 'Physicians,_Pathologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '71'}""}"
12,"{'label': 'Occupation', 'properties': ""{'title': 'Administrative_Law_Judges,_Adjudicators,_and_Hearing_Officers'}"", 'identifier': ""{'title': 'Administrative_Law_Judges,_Adjudicators,_and_Hearing_Officers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
13,"{'label': 'Occupation', 'properties': ""{'title': 'Chemistry_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Chemistry_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
14,"{'label': 'Occupation', 'properties': ""{'title': 'Forestry_and_Conservation_Science_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Forestry_and_Conservation_Science_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
15,"{'label': 'Occupation', 'properties': ""{'title': 'Geographers'}"", 'identifier': ""{'title': 'Geographers'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
16,"{'label': 'Occupation', 'properties': ""{'title': 'Geography_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'Geography_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
17,"{'label': 'Occupation', 'properties': ""{'title': 'Judges,_Magistrate_Judges,_and_Magistrates'}"", 'identifier': ""{'title': 'Judges,_Magistrate_Judges,_and_Magistrates'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
18,"{'label': 'Occupation', 'properties': ""{'title': 'Preventive_Medicine_Physicians'}"", 'identifier': ""{'title': 'Preventive_Medicine_Physicians'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '70'}""}"
19,"{'label': 'Occupation', 'properties': ""{'title': 'History_Teachers,_Postsecondary'}"", 'identifier': ""{'title': 'History_Teachers,_Postsecondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '68'}""}"
20,"{'label': 'Occupation', 'properties': ""{'title': 'Microbiologists'}"", 'identifier': ""{'title': 'Microbiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '68'}""}"
21,"{'label': 'Occupation', 'properties': ""{'title': 'Epidemiologists'}"", 'identifier': ""{'title': 'Epidemiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '66'}""}"
22,"{'label': 'Occupation', 'properties': ""{'title': 'Instructional_Coordinators'}"", 'identifier': ""{'title': 'Instructional_Coordinators'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '64'}""}"
23,"{'label': 'Occupation', 'properties': ""{'title': 'Arbitrators,_Mediators,_and_Conciliators'}"", 'identifier': ""{'title': 'Arbitrators,_Mediators,_and_Conciliators'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
24,"{'label': 'Occupation', 'properties': ""{'title': 'Chief_Executives'}"", 'identifier': ""{'title': 'Chief_Executives'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
25,"{'label': 'Occupation', 'properties': ""{'title': 'Education_Administrators,_Kindergarten_through_Secondary'}"", 'identifier': ""{'title': 'Education_Administrators,_Kindergarten_through_Secondary'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
26,"{'label': 'Occupation', 'properties': ""{'title': 'Environmental_Economists'}"", 'identifier': ""{'title': 'Environmental_Economists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
27,"{'label': 'Occupation', 'properties': ""{'title': 'Judicial_Law_Clerks'}"", 'identifier': ""{'title': 'Judicial_Law_Clerks'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
28,"{'label': 'Occupation', 'properties': ""{'title': 'News_Analysts,_Reporters,_and_Journalists'}"", 'identifier': ""{'title': 'News_Analysts,_Reporters,_and_Journalists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
29,"{'label': 'Occupation', 'properties': ""{'title': 'Psychiatrists'}"", 'identifier': ""{'title': 'Psychiatrists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
30,"{'label': 'Occupation', 'properties': ""{'title': 'Radiologists'}"", 'identifier': ""{'title': 'Radiologists'}""}","{'label': 'Basic Skill', 'properties': ""{'title': 'Writing'}"", 'identifier': ""{'title': 'Writing'}""}","{'label': 'medium_need_for_basic_skill', 'properties': ""{'importance': 78, 'level': '63'}""}"
