,Node_1,Node_2,Relation
0,"{'label': 'Occupation', 'properties': ""{'title': 'Amusement_and_Recreation_Attendants'}"", 'identifier': ""{'title': 'Amusement_and_Recreation_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
1,"{'label': 'Occupation', 'properties': ""{'title': 'Amusement_and_Recreation_Attendants'}"", 'identifier': ""{'title': 'Amusement_and_Recreation_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
2,"{'label': 'Occupation', 'properties': ""{'title': 'Amusement_and_Recreation_Attendants'}"", 'identifier': ""{'title': 'Amusement_and_Recreation_Attendants'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
3,"{'label': 'Occupation', 'properties': ""{'title': 'Baristas'}"", 'identifier': ""{'title': 'Baristas'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
4,"{'label': 'Occupation', 'properties': ""{'title': 'Baristas'}"", 'identifier': ""{'title': 'Baristas'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
5,"{'label': 'Occupation', 'properties': ""{'title': 'Baristas'}"", 'identifier': ""{'title': 'Baristas'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
6,"{'label': 'Occupation', 'properties': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}"", 'identifier': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
7,"{'label': 'Occupation', 'properties': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}"", 'identifier': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
8,"{'label': 'Occupation', 'properties': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}"", 'identifier': ""{'title': 'Dining_Room_and_Cafeteria_Attendants_and_Bartender_Helpers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
9,"{'label': 'Occupation', 'properties': ""{'title': 'Childcare_Workers'}"", 'identifier': ""{'title': 'Childcare_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
10,"{'label': 'Occupation', 'properties': ""{'title': 'Childcare_Workers'}"", 'identifier': ""{'title': 'Childcare_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
11,"{'label': 'Occupation', 'properties': ""{'title': 'Childcare_Workers'}"", 'identifier': ""{'title': 'Childcare_Workers'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Artistic'}"", 'identifier': ""{'title': 'Artistic'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
12,"{'label': 'Occupation', 'properties': ""{'title': 'Home_Health_Aides'}"", 'identifier': ""{'title': 'Home_Health_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
13,"{'label': 'Occupation', 'properties': ""{'title': 'Home_Health_Aides'}"", 'identifier': ""{'title': 'Home_Health_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Realistic'}"", 'identifier': ""{'title': 'Realistic'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
14,"{'label': 'Occupation', 'properties': ""{'title': 'Home_Health_Aides'}"", 'identifier': ""{'title': 'Home_Health_Aides'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Conventional'}"", 'identifier': ""{'title': 'Conventional'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
15,"{'label': 'Occupation', 'properties': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}"", 'identifier': ""{'title': 'Hosts_and_Hostesses,_Restaurant,_Lounge,_and_Coffee_Shop'}""}","{'label': 'Personality_Trait', 'properties': ""{'title': 'Social'}"", 'identifier': ""{'title': 'Social'}""}","{'label': 'need_for_personality_trait', 'properties': '{}'}"
